epidemiological_week,cumulative_confirmed,previous_period,diff_by_period,year,week
202011,1,0,1,2020,11
202012,18,1,17,2020,12
202013,39,18,21,2020,13
202014,60,39,21,2020,14
202015,86,60,26,2020,15
202016,156,86,70,2020,16
202017,272,156,116,2020,17
202018,567,272,295,2020,18
202019,1349,567,782,2020,19
202020,1881,1349,532,2020,20
202021,3881,1881,2000,2020,21
202022,6087,3881,2206,2020,22
202023,7540,6087,1453,2020,23
202024,9549,7540,2009,2020,24
202025,11278,9549,1729,2020,25
202026,12928,11278,1650,2020,26
202027,14502,12928,1574,2020,27
202028,16095,14502,1593,2020,28
202029,17217,16095,1122,2020,29
202030,18672,17217,1455,2020,30
202031,19945,18672,1273,2020,31
202032,21513,19945,1568,2020,32
202033,22531,21513,1018,2020,33
202034,23680,22531,1149,2020,34
202035,24616,23680,936,2020,35
202036,25423,24616,807,2020,36
202037,26163,25423,740,2020,37
202038,27076,26163,913,2020,38
202039,27874,27076,798,2020,39
202040,28677,27874,803,2020,40
202041,29046,28677,369,2020,41
202042,29708,29046,662,2020,42
202043,30232,29708,524,2020,43
202044,30811,30232,579,2020,44
202045,31590,30811,779,2020,45
202046,33006,31590,1416,2020,46
202047,34451,33006,1445,2020,47
202048,35935,34451,1484,2020,48
202049,37292,35935,1357,2020,49
202050,38378,37292,1086,2020,50
202051,39884,38378,1506,2020,51
202052,40751,39884,867,2020,52
202053,41956,40751,1205,2020,53
202101,42923,41956,967,2021,01
202102,44636,42923,1713,2021,02
202103,46254,44636,1618,2021,03
202104,48362,46254,2108,2021,04
202105,50469,48362,2107,2021,05
202106,52935,50469,2466,2021,06
202107,54758,52935,1823,2021,07
202108,57352,54758,2594,2021,08
202109,60085,57352,2733,2021,09
202110,62347,60085,2262,2021,10
202111,65290,62347,2943,2021,11
202112,68590,65290,3300,2021,12
202113,71086,68590,2496,2021,13
202114,73290,71086,2204,2021,14
202115,75349,73290,2059,2021,15
202116,76618,75349,1269,2021,16
202117,78031,76618,1413,2021,17
202118,79291,78031,1260,2021,18
202119,80353,79291,1062,2021,19
202120,81363,80353,1010,2021,20
202121,82222,81363,859,2021,21
202122,83255,82222,1033,2021,22
202123,84119,83255,864,2021,23
202124,84827,84119,708,2021,24
202125,85398,84827,571,2021,25
202126,85886,85398,488,2021,26
202127,86469,85886,583,2021,27
202128,86679,86469,210,2021,28
202129,86951,86679,272,2021,29
202130,87156,86951,205,2021,30
202131,87404,87156,248,2021,31
202132,87502,87404,98,2021,32
202133,87693,87502,191,2021,33
202134,87817,87693,124,2021,34
202135,87890,87817,73,2021,35
202136,87922,87890,32,2021,36
202137,87945,87922,23,2021,37
202138,87953,87945,8,2021,38
202139,87955,87953,2,2021,39
202140,87959,87955,4,2021,40
202141,88016,87959,57,2021,41
202142,88038,88016,22,2021,42
202143,88065,88038,27,2021,43
202144,88075,88065,10,2021,44
202145,88075,88075,0,2021,45
202146,88075,88075,0,2021,46
202147,88075,88075,0,2021,47
