,city,state,last_available_deaths
17,Rio Branco,AC,1090
5,Cruzeiro do Sul,AC,168
20,Sena Madureira,AC,83
7,Feijó,AC,63
22,Tarauacá,AC,47
2,Brasiléia,AC,44
21,Senador Guiomard,AC,42
14,Porto Acre,AC,38
0,Acrelândia,AC,37
6,Epitaciolândia,AC,36
12,Mâncio Lima,AC,32
23,Xapuri,AC,31
1,Assis Brasil,AC,24
13,Plácido de Castro,AC,20
4,Capixaba,AC,17
3,Bujari,AC,17
10,Manoel Urbano,AC,14
18,Rodrigues Alves,AC,14
11,Marechal Thaumaturgo,AC,13
19,Santa Rosa do Purus,AC,7
16,Porto Walter,AC,6
8,Jordão,AC,2
9,Maceió,AL,1
15,Porto Real do Colégio,AL,0
